"CountryCode","Period","ProductCode","TradeValue","Quantity","QuantityUnit","ProductDescription"
"AUT",2013,"UNCTAD-SoP1",17527504.014,NA,"N.Q.","Raw materials"
"AUT",2013,"UNCTAD-SoP2",38735197.744,NA,"N.Q.","Intermediate goods"
"AUT",2013,"UNCTAD-SoP3",67757651.784,NA,"N.Q.","Consumer goods"
"AUT",2013,"UNCTAD-SoP4",47207504.309,NA,"N.Q.","Capital goods"
"AUT",2014,"UNCTAD-SoP1",16839898.27,NA,"N.Q.","Raw materials"
"AUT",2014,"UNCTAD-SoP2",38450930.232,NA,"N.Q.","Intermediate goods"
"AUT",2014,"UNCTAD-SoP3",68481273.802,NA,"N.Q.","Consumer goods"
"AUT",2014,"UNCTAD-SoP4",46872645.653,NA,"N.Q.","Capital goods"
"AZE",2013,"UNCTAD-SoP1",635706.792,NA,"N.Q.","Raw materials"
"AZE",2013,"UNCTAD-SoP2",3353641.342,NA,"N.Q.","Intermediate goods"
"AZE",2013,"UNCTAD-SoP3",2764200.957,NA,"N.Q.","Consumer goods"
"AZE",2013,"UNCTAD-SoP4",3879495.419,NA,"N.Q.","Capital goods"
"AZE",2014,"UNCTAD-SoP1",534533.347,NA,"N.Q.","Raw materials"
"AZE",2014,"UNCTAD-SoP2",2537260.008,NA,"N.Q.","Intermediate goods"
"AZE",2014,"UNCTAD-SoP3",2896452.688,NA,"N.Q.","Consumer goods"
"AZE",2014,"UNCTAD-SoP4",3096333.825,NA,"N.Q.","Capital goods"
"BDI",2013,"UNCTAD-SoP1",50879.283,NA,"N.Q.","Raw materials"
"BDI",2013,"UNCTAD-SoP2",166235.347,NA,"N.Q.","Intermediate goods"
"BDI",2013,"UNCTAD-SoP3",374266.194,NA,"N.Q.","Consumer goods"
"BDI",2013,"UNCTAD-SoP4",116474.681,NA,"N.Q.","Capital goods"
"BDI",2014,"UNCTAD-SoP1",43643.74,NA,"N.Q.","Raw materials"
"BDI",2014,"UNCTAD-SoP2",139253.502,NA,"N.Q.","Intermediate goods"
"BDI",2014,"UNCTAD-SoP3",346691.444,NA,"N.Q.","Consumer goods"
"BDI",2014,"UNCTAD-SoP4",140543.932,NA,"N.Q.","Capital goods"
"BEL",2013,"UNCTAD-SoP1",75296891.977,NA,"N.Q.","Raw materials"
"BEL",2013,"UNCTAD-SoP2",129975093.498,NA,"N.Q.","Intermediate goods"
"BEL",2013,"UNCTAD-SoP3",195055540.796,NA,"N.Q.","Consumer goods"
"BEL",2013,"UNCTAD-SoP4",80040563.43,NA,"N.Q.","Capital goods"
"BEL",2014,"UNCTAD-SoP1",71823012.458,NA,"N.Q.","Raw materials"
"BEL",2014,"UNCTAD-SoP2",123508843.875,NA,"N.Q.","Intermediate goods"
"BEL",2014,"UNCTAD-SoP3",172429624.267,NA,"N.Q.","Consumer goods"
