"couISO3","Long","Lat"
"SMR",12.46,43.942
"TCA",-71.95,21.902
"ESH",-13.706,24.554
"SRB",20.806,44.032
"VAT",12.451,41.904
"SJM",18.374,78.83
"MAF",-63.041,18.094
"BLM",-63.043,18.04
"GGY",-2.576,49.459
"JEY",-2.129,49.219
"SGS",-36.891,-54.209
"TWN",120.946,23.754
