"CountryCode","Period","ProductCode","TradeValue","Quantity","QuantityUnit","ProductDescription"
"JOR",2013,2924,376.914,158637,"Kg","Plants and parts of plants (includi"
"JOR",2013,4311,370.653,492000,"Kg","Fats & oils & their fractions, anim"
"JOR",2013,2237,363.53,113801,"Kg","Oil-seeds & oleaginous fruits, n.e."
"JOR",2013,6632,363.081,1135792,"Kg","Natural or artificial abrasive powd"
"JOR",2013,2741,358.11,1662720,"Kg","Sulphur of all kinds, other than su"
"JOR",2013,7724,356.676,66225,"Kg","Electrical apparatus for switching "
"JOR",2013,8993,355.915,NA,"N.Q.","Candles; matches, pyrophoric alloys"
"JOR",2013,8483,355.101,47320,"Kg","Articles of apparel, clothing acces"
"JOR",2013,8719,339.072,NA,"N.Q.","Liquid crystal devices, n.e.s.; las"
"JOR",2013,8423,338.016,11392,"Item","Jackets & blazers, women's/girls', "
"JOR",2013,2672,337.671,1744521,"Kg","Waste (including noils, yarn waste "
"JOR",2013,2117,337.37,262705,"Kg","Sheepskins & lambskins without wool"
"JOR",2013,8998,324.764,75310,"Kg","Smallwares and toilet articles, n.e"
"JOR",2013,7448,322.755,NA,"N.Q.","Lifting, handling, loading or unloa"
"JOR",2013,2112,320.178,277458,"Kg","Raw hides and skins of bovine (incl"
"JOR",2013,6413,313.858,228221,"Kg","Paper and paperboard, of a kind use"
"JOR",2013,6624,312.578,NA,"N.Q.","Non-refractory ceramic bricks, tile"
"JOR",2013,7762,312.141,NA,"N.Q.","Other electronic valves and tubes ("
"JOR",2013,8515,302.878,21839,"Pair","Other footwear, with uppers of text"
"JOR",2013,8511,299.456,12512,"Pair","Footwear incorporating a protective"
"JOR",2013,5986,286.696,297051,"Kg","Organic chemical products, n.e.s."
"JOR",2013,8414,280.045,9484,"Item","Trousers, bib & brace overalls, bre"
"JOR",2013,19,278.981,NA,"N.Q.","Live animals, n.e.s."
"JOR",2013,15,278.658,NA,"N.Q.","Horses, asses, mules & hinnies, liv"
"JOR",2013,910,277.957,134044,"Kg","Margarine; edible mixtures or prepa"
"JOR",2013,6561,276.767,84836,"Kg","Narrow woven fabrics (other than go"
"JOR",2013,2881,270.452,574725,"Kg","Slag, ash & residues (other than fr"
"JOR",2013,6645,268.31,NA,"N.Q.","Cast glass and rolled glass, in she"
"JOR",2013,6811,262.067,287,"Kg","Silver (including base metals clad "
"JOR",2013,6212,260.564,10000,"Kg","Other forms (e.g., rods, tubes and "
"JOR",2013,6114,253.593,221100,"Kg","Tanned or crust hides and skins of "
"JOR",2013,8415,249.555,17932,"Item","Shirts"
"JOR",2013,8448,241.513,73011,"Item","Slips, petticoats, briefs, panties,"
"JOR",2013,8413,240.891,4925,"Item","Jackets & blazers, men's/boys', of "
"JOR",2013,8747,239.662,NA,"N.Q.","Oscilloscopes, spectrum analyzers a"
"JOR",2013,6978,238.441,71753,"Kg","Household appliances, decorative ar"
"JOR",2013,7491,237.976,56776,"Kg","Moulding boxes for metal foundry; m"
"JOR",2013,2687,232.108,380030,"Kg","Wool and fine or coarse animal hair"
"JOR",2013,8951,229.127,77707,"Kg","Office and stationery supplies, of "
"JOR",2013,2721,225.715,189090,"Kg","Animal/vegetable fertilizers, wheth"
"JOR",2013,5121,218.238,NA,"N.Q.","Acyclic monohydric alcohols"
"JOR",2013,6354,217.822,79502,"Kg","Manufactures of wood for domestic o"
"JOR",2013,6661,212.882,99636,"Kg","Ceramic tableware, kitchenware and "
"JOR",2013,6345,211.9,180738,"Kg","Fibreboard of wood or other ligneou"
"JOR",2013,7418,210.558,NA,"N.Q.","Other machinery, plant and similar "
"JOR",2013,6583,209.634,70325,"Kg","Blankets and travelling-rugs (other"
"JOR",2013,7788,206.528,NA,"N.Q.","Electrical machinery and equipment,"
"JOR",2013,7431,205.365,NA,"N.Q.","Air or vacuum pumps, air or other g"
"JOR",2013,8412,205.227,1678,"Item","Suits and ensembles"
"JOR",2013,5236,205.029,261100,"Kg","Phosphinates (hypophosphites), phos"
"JOR",2013,2823,198.309,483248,"Kg","Other ferrous waste and scrap"
"JOR",2013,6770,197.293,114224,"Kg","Railway or tramway track constructi"
"JOR",2013,7862,196.062,12,"Item","Trailers and semi-trailers for the "
"JOR",2013,2122,188.986,140000,"Kg","Raw furskins, other than of mink, w"
"JOR",2013,6649,182.392,137054,"Kg","Glass, n.e.s."
"JOR",2013,7219,182.29,NA,"N.Q.","Agricultural, horticultural, forest"
"JOR",2013,7712,179.091,NA,"N.Q.","Other electric power machinery; par"
"JOR",2013,2633,178.794,1384761,"Kg","Cotton waste (including yarn waste "
"JOR",2013,8484,177.453,NA,"N.Q.","Headgear and fittings therefor, n.e"
"JOR",2013,5423,175.451,17103,"Kg","Medicaments containing alkaloids or"
"JOR",2013,7285,173.039,68918,"Kg","Parts, n.e.s., of the machines and "
"JOR",2013,2519,170.483,885540,"Kg","Semi-chemical wood pulp and pulps o"
"JOR",2013,8411,167.889,2887,"Item","Overcoats, car coats, capes, cloaks"
"JOR",2013,6518,167.703,37958,"Kg","Yarn (other than sewing thread) of "
"JOR",2013,561,163.596,31369,"Kg","Vegetables, dried (excluding legumi"
"JOR",2013,6954,161.253,109192,"Kg","Hand tools (including glaziers' dia"
"JOR",2013,5513,159.341,225059,"Kg","Essential oils (terpeneless or not)"
"JOR",2013,8461,157.142,NA,"N.Q.","Clothing accessories (other than th"
"JOR",2013,7339,153.958,NA,"N.Q.","Other machine tools for working met"
"JOR",2013,6795,153.461,43915,"Kg","Tube or pipe fittings (e.g., coupli"
"JOR",2013,6514,153.35,47160,"Kg","Sewing thread of man-made fibres, w"
"JOR",2013,2732,153.308,2351410,"Kg","Gypsum, plasters, limestone flux, l"
"JOR",2013,5799,148.884,292200,"Kg","Waste, parings & scrap of other pla"
"JOR",2013,6662,147.097,21180,"Kg","Statuettes and other ornamental cer"
"JOR",2013,6422,144.479,61818,"Kg","Envelopes, letter cards, plain post"
"JOR",2013,8746,138.39,NA,"N.Q.","Automatic regulating or controlling"
"JOR",2013,6117,138.137,179043,"Kg","Leather of other animals, without h"
